transaction_id,upi_rrn,amount_inr,timestamp,delivery_status,item_consumed,delivery_delay_sec,claim_filed,dispute_reason,is_fraud_label,risk_score,predicted_is_fraud,decision_action,reason_code
TXN_100001,415631219101,472.66,2026-08-18 22:34:45,DELIVERED,True,4,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100002,418138552030,11073.42,2026-08-31 05:51:45,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0,0.11,0,AUTO_APPROVE_REFUND,VALID_DISPUTE: System timeout confirmed. Order failed and item was not delivered/consumed.
TXN_100003,477682810754,6386.64,2026-08-07 18:42:45,DELIVERED,True,3,True,PAID_BUT_NOT_RECEIVED,1,0.95,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100004,431003814027,7629.79,2026-08-07 15:09:45,DELIVERED,True,9,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100005,495343281705,9783.28,2026-08-31 05:23:45,DELIVERED,True,7,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100006,461076327392,8880.06,2026-08-06 17:15:45,DELIVERED,True,13,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100007,424935803837,10502.28,2026-08-21 21:48:45,DELIVERED,True,5,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100008,426437583152,14362.47,2026-08-21 17:49:45,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0,0.03,0,AUTO_APPROVE_REFUND,VALID_DISPUTE: System timeout confirmed. Order failed and item was not delivered/consumed.
TXN_100009,409028924397,5760.92,2026-08-22 18:16:45,DELIVERED,True,28,True,PAID_BUT_NOT_RECEIVED,1,0.98,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100010,483081657201,4041.36,2026-08-08 09:37:45,DELIVERED,True,24,True,PAID_BUT_NOT_RECEIVED,1,0.96,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100011,474987658854,1959.91,2026-08-23 15:37:45,DELIVERED,True,2,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100012,441025702129,12458.13,2026-09-03 13:45:45,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0,0.81,1,DEFEND_NPCI_DISPUTE,SUSPICIOUS_RETRY_PATTERN: Repeated dispute claims across multiple merchant endpoints.
TXN_100013,478862621936,2965.1,2026-08-09 14:08:45,DELIVERED,True,2,True,PAID_BUT_NOT_RECEIVED,1,0.9,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100014,432904875417,11618.72,2026-08-10 01:19:45,DELIVERED,True,14,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100015,451973405392,4241.81,2026-09-04 08:30:45,DELIVERED,True,14,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100016,423041778753,5615.7,2026-08-15 23:00:45,DELIVERED,True,11,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100017,495635941509,14056.15,2026-09-04 21:59:45,DELIVERED,True,2,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100018,488515543667,2649.97,2026-08-17 13:33:45,DELIVERED,True,3,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100019,453525000050,4122.22,2026-09-04 13:13:45,DELIVERED,True,12,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100020,432456852025,10300.75,2026-08-08 23:15:45,DELIVERED,True,4,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100021,407824582571,12095.18,2026-08-24 16:20:45,DELIVERED,True,9,True,PAID_BUT_NOT_RECEIVED,1,0.9,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100022,426054081665,13705.73,2026-09-01 05:40:45,DELIVERED,True,15,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100023,446033091279,3268.14,2026-08-29 03:27:45,DELIVERED,True,7,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100024,462890569906,2228.79,2026-08-12 18:40:45,DELIVERED,True,4,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100025,476214147353,8130.76,2026-09-02 00:41:45,DELIVERED,True,7,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100026,481165531253,6051.07,2026-08-16 09:43:45,DELIVERED,True,5,True,PAID_BUT_NOT_RECEIVED,1,0.94,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100027,466612908200,1454.55,2026-08-08 13:37:45,DELIVERED,True,14,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100028,417650808629,9448.95,2026-08-25 15:16:45,DELIVERED,True,10,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100029,451812456976,5786.13,2026-08-27 17:24:45,DELIVERED,True,9,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100030,404047709743,10236.22,2026-08-11 15:17:45,DELIVERED,True,11,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100031,476814581501,11288.08,2026-09-04 14:16:45,DELIVERED,True,11,True,PAID_BUT_NOT_RECEIVED,1,0.91,1,DEFEND_NPCI_DISPUTE,FRIENDLY_FRAUD_DETECTED: Product delivered and redeemed. Claim 'PAID_BUT_NOT_RECEIVED' contradicts delivery evidence.
TXN_100032,439133818601,6578.0,2026-08-27 01:45:45,DELIVERED,True,1,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100033,469486780724,13698.15,2026-09-03 21:09:45,DELIVERED,True,5,False,NONE,0,0.05,0,PASS_NO_ACTION,Standard transaction - no active dispute claim.
TXN_100034,489514288247,7664.18,2026-08-15 11:25:45,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0,0.03,0,AUTO_APPROVE_REFUND,VALID_DISPUTE: System timeout confirmed. Order failed and item was not delivered/consumed.
TXN_100035,447901079933,11461.41,2026-08-30 23:18:45,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0,0.05,0,AUTO_APPROVE_REFUND,VALID_DISPUTE: System timeout confirmed. Order failed and item was not delivered/consumed.
