transaction_id,upi_rrn,amount_inr,timestamp,delivery_status,item_consumed,delivery_delay_sec,claim_filed,dispute_reason,is_fraud_label
TXN_100001,415631219101,472.66,2026-08-12 20:32:57,DELIVERED,True,4,False,NONE,0
TXN_100002,418138552030,11073.42,2026-08-25 03:49:57,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0
TXN_100003,477682810754,6386.64,2026-08-01 16:40:57,DELIVERED,True,3,True,PAID_BUT_NOT_RECEIVED,1
TXN_100004,431003814027,7629.79,2026-08-01 13:07:57,DELIVERED,True,9,False,NONE,0
TXN_100005,495343281705,9783.28,2026-08-25 03:21:57,DELIVERED,True,7,False,NONE,0
TXN_100006,461076327392,8880.06,2026-07-31 15:13:57,DELIVERED,True,13,False,NONE,0
TXN_100007,424935803837,10502.28,2026-08-15 19:46:57,DELIVERED,True,5,False,NONE,0
TXN_100008,426437583152,14362.47,2026-08-15 15:47:57,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0
TXN_100009,409028924397,5760.92,2026-08-16 16:14:57,DELIVERED,True,28,True,PAID_BUT_NOT_RECEIVED,1
TXN_100010,483081657201,4041.36,2026-08-02 07:35:57,DELIVERED,True,24,True,PAID_BUT_NOT_RECEIVED,1
TXN_100011,474987658854,1959.91,2026-08-17 13:35:57,DELIVERED,True,2,False,NONE,0
TXN_100012,441025702129,12458.13,2026-08-28 11:43:57,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0
TXN_100013,478862621936,2965.1,2026-08-03 12:06:57,DELIVERED,True,2,True,PAID_BUT_NOT_RECEIVED,1
TXN_100014,432904875417,11618.72,2026-08-03 23:17:57,DELIVERED,True,14,False,NONE,0
TXN_100015,451973405392,4241.81,2026-08-29 06:28:57,DELIVERED,True,14,False,NONE,0
TXN_100016,423041778753,5615.7,2026-08-09 20:58:57,DELIVERED,True,11,False,NONE,0
TXN_100017,495635941509,14056.15,2026-08-29 19:57:57,DELIVERED,True,2,False,NONE,0
TXN_100018,488515543667,2649.97,2026-08-11 11:31:57,DELIVERED,True,3,False,NONE,0
TXN_100019,453525000050,4122.22,2026-08-29 11:11:57,DELIVERED,True,12,False,NONE,0
TXN_100020,432456852025,10300.75,2026-08-02 21:13:57,DELIVERED,True,4,False,NONE,0
TXN_100021,407824582571,12095.18,2026-08-18 14:18:57,DELIVERED,True,9,True,PAID_BUT_NOT_RECEIVED,1
TXN_100022,426054081665,13705.73,2026-08-26 03:38:57,DELIVERED,True,15,False,NONE,0
TXN_100023,446033091279,3268.14,2026-08-23 01:25:57,DELIVERED,True,7,False,NONE,0
TXN_100024,462890569906,2228.79,2026-08-06 16:38:57,DELIVERED,True,4,False,NONE,0
TXN_100025,476214147353,8130.76,2026-08-26 22:39:57,DELIVERED,True,7,False,NONE,0
TXN_100026,481165531253,6051.07,2026-08-10 07:41:57,DELIVERED,True,5,True,PAID_BUT_NOT_RECEIVED,1
TXN_100027,466612908200,1454.55,2026-08-02 11:35:57,DELIVERED,True,14,False,NONE,0
TXN_100028,417650808629,9448.95,2026-08-19 13:14:57,DELIVERED,True,10,False,NONE,0
TXN_100029,451812456976,5786.13,2026-08-21 15:22:57,DELIVERED,True,9,False,NONE,0
TXN_100030,404047709743,10236.22,2026-08-05 13:15:57,DELIVERED,True,11,False,NONE,0
TXN_100031,476814581501,11288.08,2026-08-29 12:14:57,DELIVERED,True,11,True,PAID_BUT_NOT_RECEIVED,1
TXN_100032,439133818601,6578.0,2026-08-20 23:43:57,DELIVERED,True,1,False,NONE,0
TXN_100033,469486780724,13698.15,2026-08-28 19:07:57,DELIVERED,True,5,False,NONE,0
TXN_100034,489514288247,7664.18,2026-08-09 09:23:57,FAILED,False,0,True,PAID_BUT_NOT_RECEIVED,0
